Commodity,instrument_count,sample_symbol,lot_size
ALUMINI,5,ALUMINI30OCT26FUT,1000.0
ALUMINIUM,5,ALUMINIUM31AUG26FUT,5000.0
CARDAMOM,5,CARDAMOM30OCT26FUT,100.0
COPPER,463,COPPER30NOV26FUT,2500.0
COTTON,5,COTTON31JUL26FUT,25.0
COTTONOIL,4,COTTONOIL31AUG26FUT,500.0
CRUDEOIL,1172,CRUDEOIL21SEP26FUT,100.0
CRUDEOILM,1172,CRUDEOILM19AUG26FUT,10.0
ELECDMBL,4,ELECDMBL29SEP26FUT,50.0
GOLD,3660,GOLD29JUL26175000PE,100.0
GOLDGUINEA,6,GOLDGUINEA31AUG26FUT,1.0
GOLDM,806,GOLDM04DEC26FUT,10.0
GOLDPETAL,6,GOLDPETAL31AUG26FUT,1.0
GOLDTEN,6,GOLDTEN31AUG26FUT,1.0
KAPAS,3,KAPAS30NOV26FUT,200.0
LEAD,5,LEAD31AUG26FUT,5000.0
LEADMINI,5,LEADMINI31AUG26FUT,1000.0
MCXBULLDEX,733,MCXBULLDEX28AUG26FUT,30.0
MCXMETLDEX,3,MCXMETLDEX23SEP26FUT,40.0
MENTHAOIL,6,MENTHAOIL30OCT26FUT,360.0
NATGASMINI,544,NATGASMINI27OCT26FUT,250.0
NATURALGAS,544,NATURALGAS27OCT26FUT,1250.0
NICKEL,5,NICKEL15JUL26FUT,250.0
SILVER,3516,SILVER04SEP26FUT,30.0
SILVER100,6,SILVER10030OCT26FUT,10.0
SILVERM,3362,SILVERM30NOV26FUT,5.0
SILVERMIC,3,SILVERMIC30NOV26FUT,1.0
STEELREBAR,5,STEELREBAR31AUG26FUT,5.0
ZINC,253,ZINC30SEP26FUT,5000.0
ZINCMINI,5,ZINCMINI30SEP26FUT,1000.0
